"","Resource.Name","Street.Address","Zip.Code","Council.District","Resource.Type","Program.Name","Age.Population","Website","fullAddress","lon","lat"
"1","Carnegie Library - Allegheny","1230 Federal Street",15212,1,"Library","""Storytime: Baby and Toddler Snugglebugs""","Ages 18m-3","https://www.carnegielibrary.org/clp_location/allegheny/","1230 Federal Street, Pittsburgh, PA 15212",-80.006615,40.4563927
"2","Carnegie Library - Beechview","1910 Broadway Avenue",15216,2,"Library","""Storytime: Preschool Pals""","Ages 3-5","https://www.carnegielibrary.org/clp_location/beechview/","1910 Broadway Avenue, Pittsburgh, PA 15216",-80.0277175,40.4070489
"3","Carnegie Library - Brookline","708 Brookline Boulevard",15226,4,"Library","""Storytime: Toddler and Preschool Tales""","Ages 18m-5","https://www.carnegielibrary.org/clp_location/brookline/","708 Brookline Boulevard, Pittsburgh, PA 15226",-80.021447,40.3943929
"4","Carnegie Library - Carrick","1811 Brownsville Road",15210,4,"Library","General Early Literacy Resources","Ages 0-5","https://www.carnegielibrary.org/clp_location/carrick/","1811 Brownsville Road, Pittsburgh, PA 15210",-79.9875492,40.3969918
"5","Carnegie Library - Downtown & Business","612 Smithfield Street",15222,6,"Library","""Storytime: Family Fun""","Ages 0-5","https://www.carnegielibrary.org/clp_location/downtown-business/","612 Smithfield Street, Pittsburgh, PA 15222",-79.9971122,40.4417491
"6","Carnegie Library - East Liberty","130 S. Whitfield Street",15206,9,"Library","""Storytime: Family Fun""","Ages 2-5","https://www.carnegielibrary.org/clp_location/east-liberty/","130 S. Whitfield Street, Pittsburgh, PA 15206",-79.926522,40.460864
"7","Carnegie Library - Hazelwood","5006 Second Avenue",15207,5,"Library","""Storytime: Preschool Pals""","Ages 3-5","https://www.carnegielibrary.org/clp_location/hazelwood/","5006 Second Avenue, Pittsburgh, PA 15207",-79.9435643,40.4081775
"8","Carnegie Library - Hill District","2177 Centre Avenue",15219,6,"Library","General Early Literacy Resources","Ages 0-5","https://www.carnegielibrary.org/clp_location/hill-district/","2177 Centre Avenue, Pittsburgh, PA 15219",-79.9767578,40.4454367
"9","Carnegie Library - Homewood","7101 Hamilton Avenue",15208,9,"Library","""Storytime: Baby and Me""","Ages 0-18m","https://www.carnegielibrary.org/clp_location/homewood/","7101 Hamilton Avenue, Pittsburgh, PA 15208",-79.899213,40.455284
"10","Carnegie Library - Knoxville","400 Brownsville Road",15210,3,"Library","""Storytime: Family Fun""","Ages 0-5","https://www.carnegielibrary.org/clp_location/knoxville/","400 Brownsville Road, Pittsburgh, PA 15210",-79.9891605,40.4132042
"11","Carnegie Library - Lawrenceville","279 Fisk Street",15201,7,"Library","""Storytime: Family Fun""","Ages 0-5","https://www.carnegielibrary.org/clp_location/lawrenceville/","279 Fisk Street, Pittsburgh, PA 15201",-79.959082,40.467605
"12","Carnegie Library - Library for the Blind and Physically Handicapped","4724 Baum Blvd.",15213,7,"Library","General Early Literacy Resources","Ages 0-5","https://www.carnegielibrary.org/clp_location/library-for-the-blind-and-physically-handicapped/","4724 Baum Blvd., Pittsburgh, PA 15213",-79.949183,40.453817
"13","Carnegie Library - Main (Oakland)","4400 Forbes Avenue",15213,8,"Library","""Preschool Explorers""","Ages 3-5","https://www.carnegielibrary.org/clp_location/main-oakland/","4400 Forbes Avenue, Pittsburgh, PA 15213",-79.9495881,40.4435041
"14","Carnegie Library - Mt. Washington","315 Grandview Avenue",15211,2,"Library","""Storytime: Toddler and Preschooler Tales""","Ages 18m-5","https://www.carnegielibrary.org/clp_location/mt-washington/","315 Grandview Avenue, Pittsburgh, PA 15211",-80.010471,40.4335161
"15","Carnegie Library - Sheraden","720 Sherwood Avenue",15204,2,"Library","""Storytime: Terrific Tales for Toddlers""","Ages 18m-3","https://www.carnegielibrary.org/clp_location/sheraden/","720 Sherwood Avenue, Pittsburgh, PA 15204",-80.0565352,40.4552007
"16","Carnegie Library - South Side","2205 East Carson Street",15203,3,"Library","""Storytime: Toddler and Preschool Tales""","Ages 18m-5","https://www.carnegielibrary.org/clp_location/south-side/","2205 East Carson Street, Pittsburgh, PA 15203",-79.9742727,40.4286817
"17","Carnegie Library - Squirrel Hill","5801 Forbes Avenue",15217,5,"Library","""Storytime: Family Fun""","Ages 0-5","https://www.carnegielibrary.org/clp_location/squirrel-hill/","5801 Forbes Avenue, Pittsburgh, PA 15217",-79.9227127,40.4384436
"18","Carnegie Library - West End","47 Wabash Street",15220,2,"Library","""Little Learners""","Ages 0-5","https://www.carnegielibrary.org/clp_location/west-end/","47 Wabash Street, Pittsburgh, PA 15220",-80.034045,40.4400574
"19","Carnegie Library - Woods Run","1201 Woods Run Avenue",15212,1,"Library","""Storytime: Toddler and Preschooler Tales""","Ages 18m-5","https://www.carnegielibrary.org/clp_location/woods-run/","1201 Woods Run Avenue, Pittsburgh, PA 15212",-80.0302122,40.476239
"20","Homewood's Children's Village","801 N Homewood Avenue",15208,9,"Resource Center","""Baby Promise""","Ages 0-5","http://hcvpgh.org/","801 N Homewood Avenue, Pittsburgh, PA 15208",-79.8969158,40.4566413
"21","Children's Museum of Pittsburgh","10 Children's Way",15213,1,"Museum","""Tots""","Ages 0-5","https://pittsburghkids.org/education/tots","10 Children's Way, Pittsburgh, PA 15213",-80.0065519,40.4527589
"22","Pittsburgh Parks Conservancy","45 South 23rd St",15203,3,"Nature","""Nature School""","Ages 3-5","http://www.pittsburghparks.org/","45 South 23rd St, Pittsburgh, PA 15203",-79.9726922,40.4298655
"23","Jewish Community Center (JCC) Squirrel Hill","5738 Forbes Avenue",15217,5,"Resource Center","""My Baby and Me""","Ages 0-5","http://jccpgh.org/early-childhood/baby/","5738 Forbes Avenue, Pittsburgh, PA 15217",-79.9239397,40.437599
"24","Phipps Conservatory & Botanical Gardens","One Schenley Park",15213,5,"Nature","""Story Time Wednesdays""","Ages 0-5","https://phipps.conservatory.org/classes-and-programs/for-children/discovery-programs/","One Schenley Park, Pittsburgh, PA 15213",-79.9486675,40.438256
"25","Waterworks Mall Barnes & Noble","926 Freeport Road",15238,9,"Bookstore","""Toddler Storytime""","Ages 0-5","http://stores.barnesandnoble.com/store/2898/","926 Freeport Road, Pittsburgh, PA 15238",-79.8936703,40.4890456
"26","The Homewood Early Learning Hub","7219 Kelly St",15208,9,"Resource Center","""Raising Readers""","Ages 0-5","http://www.paeyc.org/hub","7219 Kelly St, Pittsburgh, PA 15208",-79.8962242,40.4555533
"27","The Hazelwood Early Learning Hub","5006 Second Avenue",15207,5,"Resource Center","""Come Play! Program""","Ages 0-5","http://www.paeyc.org/hub","5006 Second Avenue, Pittsburgh, PA 15207",-79.9435643,40.4081775
"28","Venture Outdoors","33 Terminal Way",15219,3,"Nature","""Tyke Hikes""","Ages 0-5","http://www.ventureoutdoors.org/family/","33 Terminal Way, Pittsburgh, PA 15219",-79.9967832,40.4304325
"29","Learning Express Bakery Square","172 Bakery Square Blvd",15206,9,"Bookstore","""Storytime""","Ages 2-5","https://learningexpress.com/store/bakerysquare/","172 Bakery Square Blvd, Pittsburgh, PA 15206",-79.9158851,40.4570167
"30","Sarah Heinz House","1 Heinz St",15212,1,"Resource Center","""Preschool and Tots""","Ages 2-5","http://www.sarahheinzhouse.org/programs/preschool-tots/","1 Heinz St, Pittsburgh, PA 15212",-79.9932561,40.4547769
"31","Pittsburgh Zoo Wildlife Academy","One Wild Place",15206,7,"Nature","""Wildlife Academy""","Ages 2-5","http://www.pittsburghzoo.org/Education/wildlifeacademy","One Wild Place, Pittsburgh, PA 15206",-79.919761,40.4830591
"32","Reading Is Fundamental (RIF) Pittsburgh","10 Children's Way #300",15213,1,"Resource Center","""Books for Keeps""","Ages 0-5","http://www.rifpittsburgh.org/","10 Children's Way #300, Pittsburgh, PA 15213",-80.0065519,40.4527589
"33","Carnegie Museum of Art","4400 Forbes Avenue",15213,8,"Museum","""Preschool Summer Camps""","Ages 3-5","http://cmoa.org/","4400 Forbes Avenue, Pittsburgh, PA 15213",-79.9495881,40.4435041
"34","Carnegie Museum of Natural History","4400 Forbes Avenue",15213,8,"Museum","""Super Science Fridays""","Ages 3-5+","http://www.carnegiemnh.org/programs/superscience/","4400 Forbes Avenue, Pittsburgh, PA 15213",-79.9495881,40.4435041
"35","Carnegie Science Center","One Allegheny Ave",15212,6,"Museum","""Munchkin Mondays""","Ages 2-6","http://www.carnegiesciencecenter.org/programs/preschool-adventures-munchkin-mondays/","One Allegheny Ave, Pittsburgh, PA 15212",-80.0180996,40.4456737
